Term,Definitions
2001 Mars Odyssey,"Mars orbiter mission designed to make global observations of Mars to improve our understanding of the Martian climate and geologic history, including the search for liquid water and evidence of past life. The three primary instruments carried onboard are THEMIS (Thermal Emission Imaging System), GRS (Gamma Ray Spectrometer), and MARIE (Mars Radiation Environment Experiment). Launched April 2001."
A-1 aircraft,
A-2 aircraft,
A-3 aircraft,
A-4 aircraft,
A-5 aircraft,
A-6 aircraft,
A-7 aircraft,
A-9 aircraft,
A-10 aircraft,
A-37 aircraft,
A-300 aircraft,
A-310 aircraft,
A-320 aircraft,
A-330 aircraft,
A-340 aircraft,
A-380 aircraft,
AAP 1 mission,
AAP 2 mission,
AAP 3 mission,
AAP 4 mission,
abbreviations,
abdomen,
Abel function,
aberration,"In astronomy, the apparent angular displacement of the position of a celestial body in the direction of motion of the observer, caused by the combination of the velocity of the observer and the velocity of light. In optics, a specific deviation from perfect imagery, as, for example: spherical aberration, coma, astigmatism, curvature of field, and distortion."
abilities,
abiogenesis,The development of living organisms from lifeless matter.
ablation,"The removal of surface material from a body by vaporization, melting, chipping, or other erosive process; specifically, the intentional removal of material from a nose cone or spacecraft during high speed movement through a planetary atmosphere to provide thermal protection to the underlying structure."
ablative materials,"Materials, especially coating materials, designed to provide thermal protection to a body in a fluid stream through the loss of mass."
ablative nose cones,
Ablestar launch vehicle,
abnormalities,
aborigines,
abort apparatus,
abort trajectories,
aborted missions,
abrasion,The surface loss of a material due to frictional forces.
abrasion resistance,
abrasives,"Rocks, minerals, or other substances that, owing to their superior hardness, toughness, consistency, or other properties, are suitable for grinding, cutting, polishing, scouring, or similar use."
Abrikosov theory,
abscisic acid,"Abscission-accelerating plant growth substance isolated from young cotton fruit, leaves of sycamore, birch, and other plants, and from potatoes, lemons, avocados, and other fruits."
absolute zero,Temperature of -273.16 deg. C or -459.69 deg. F or 0 deg. K at which molecular motion vanishes and a body has no heat energy.
absorbents,
~ absorbers,
absorbers (equipment),
absorbers (materials),
absorptance,The ratio of the radiant flux absorbed by a body to that incident upon it.
~ absorption,"The process by which radiant energy is absorbed and converted into other forms of energy. In general, the taking up or assimilation of one substance by another. In vacuum technology, gas entering the interior of a solid."
absorption cooling,Refrigeration in which cooling is effected by the expansion of liquid ammonia into gas and the absorption of the gas by water. The ammonia is reused after the water evaporates.
absorption cross sections,"In radar, cross sections characterized by the amount of power removed from a beam by absorption of radio energy by a target to the power in the beam incident upon the target. Used for capture cross sections."
absorption spectra,The arrays of absorption lines and absorption bands which result from the passage of radiant energy from a continuous source through a selectively absorbing medium cooler than the source. Used for absorption bands and spectral absorption.
absorption spectroscopy,
absorptivity,"The capacity of a material to absorb incident radiant energy, measured as the absorptance of a specimen of material thick enough to be completely opaque, and having an optically smooth surface. Used for absorption coefficient and absorptive index."
abstracts,
abundance,"The mean concentration of an element in a geochemical reservoir, e.g., the abundance of Ni in meteorites or the crustal abundance of oxygen. Also used for the for relative average content, e.g., the order of abundance of elements in the Earth's crust is O, Si, AL, Fe, Ca, etc. Used for element abundance."
AC generators,Generators for the production of alternating-current power. Used for alternating current generators and alternators (generators).
accelerated life tests,"Methods designed to approximate, in a short time, the deteriorating effects under normal long-term service conditions."
accelerating agents,
~ acceleration,The time rate of change of velocity.
acceleration measurement,
acceleration (physics),The rate of change of velocity. The act or process of accelerating or the state of being accelerated. Used for boost and G force.
acceleration protection,
acceleration stresses (physiology),
acceleration tolerance,
~ accelerators,Machines that ionize gases and electrically accelerate the ions onto targets.
accelerometers,Transducers which measure acceleration or gravitational forces capable of imparting acceleration.
acceptability,
acceptor materials,
access control,"Hardware or software features, operating procedures, or management procedures designed to permit authorized access to a computer system."
access time,
accessories,
accident investigation,
accident prevention,
accident proneness,
accidents,
acclimatization,The adjustments of a human body or other organism to a new environment; the bodily changes which tend to increase efficiency and reduce energy loss. Used for deacclimatization.
accommodation,
accommodation coefficient,The ratio of the average energy actually transferred between a surface and impinging gas molecules which are scattered by the surface to the average energy which would theoretically be transferred if the impinging molecules reached complete thermal equilibrium with the surface before leaving the surface. Used for thermal accommodation coefficients.
accounting,"The practice and system of recording and summarizing business and financial transactions, and reporting as well as verifying and analyzing their results."
accretion disks,"Rotation disks of matter surrounding an astronomical object, such as a star, galactic nucleus, black hole, etc., which is accumulated gravitationally by the object."
accumulations,
accumulators,Devices or apparatus that accumulate or store. Used for collectors.
accumulators (computers),"In computer technology, devices which store a number and upon receipt of another number add it to the number already stored and store the sum."
accuracy,The degree of agreement of the measurements with the true value of the magnitude of the quantity measured. Used for error band and fidelity.
ACEE program,"A NASA program started in 1975 to reduce fuel consumption for transport aircraft through the study of structural and aerodynamic energy efficiency as well as engine energy efficiency consisting of engine component improvement, new energy efficient engines, and advanced turbopropellers. The acronym stands for aircraft energy efficiency. Used for Aircraft Energy Efficiency program and energy efficiency transport program."
acetaldehyde,
acetals,
acetanilide,
acetates,
acetazolamide,
acetic acid,
acetone,
acetonitrile,
acetyl compounds,
acetylacetone,
acetylation,"Substitution of an acetyl radical for an active hydrogen. Specifically, formation of cellulose acetate from cellulose. Used for acetation."
acetylcholine,"A major neurotransmitter in vertebrates at neuromuscular junctions, autonomic ganglia, parasympathetic effector junctions, a subset of sympathetic effector junctions, and at many sites in the central nervous system."
acetylene,
acetylsalicylic acid,
achievement,
achondrites,
acid base equilibrium,
acid rain,Low pH rainfall resulting from atmospheric reactions of aerosols containing chlorides and sulfates (or other negative ions).
acidity,
acidosis,Reduction of alkali reserves due to an excess of acid metabolites.
acids,
acoustic attenuation,
acoustic coupling,
acoustic delay lines,Devices used in a communications link or a computer memory in which the signal is delayed by the propagation of sound waves. Used for sonic waveguides.
acoustic ducts,
acoustic emission,The stress and pressure waves generated during dynamic processes in materials and used in assessing structural integrity in machined parts.
acoustic excitation,The process of inducing vibration in a structure by exposure to sound waves.
acoustic fatigue,
acoustic frequencies,
acoustic imaging,
acoustic impedance,
acoustic instability,
acoustic levitation,"Method by which molten materials in space are suspended during processing experiments in the low gravity environment. Also, the use of very intense sound waves to keep a body suspended, thereby eliminating any container contact."
acoustic measurement,"Measurement of properties, quantities, or conditions of acoustical, i.e., mechanical waves. Used for sound measurement."
acoustic microscopes,Instruments which use acoustic radiation at microwave frequencies to allow visualization of microscopic detail exhibited in elastic properties of objects. Used for scanning laser acoustic microscope (SLAM).
acoustic nozzles,
acoustic propagation,
acoustic properties,
acoustic resonance,
acoustic retrofitting,"Modification, especially of aircraft, to effect noise reduction; specifically, the introduction of absorber materials and jet noise silencers."
acoustic scattering,
acoustic simulation,
acoustic sounding,
acoustic streaming,Unidirectional flow currents in a fluid that are due to the presence of sound waves.
acoustic velocity,"The speed of propagation of sound waves. Used for sonic speed, sound barrier, and sound velocity."
acoustical holography,
acoustics,"The study of sound, including its production, transmission, and effects. Those qualities of an enclosure that together determine its character with respect to distinct hearing. Used for sound."
acousto-optics,
acquired immunodeficiency syndrome,"A condition caused by the human immunodeficiency virus (HIV) attacking the human body's T-cells, thereby rendering an infected individual defenseless against diseases."
acquisition,
acriflavine,
acroleins,
acrylates,
acrylic acid,
acrylic resins,
acrylonitriles,
actinide series,"The series of elements beginning with actium, Element No. 89, and continuing through lawrencium, Element No. 103."
actinide series compounds,
actinium,
actinometers,"The general name for instruments used to measure the intensity of radiant energy, particularly that of the sun. Used for actinographs and emissographs."
actinomycetes,
actinomycin,
activated carbon,
activated sludge,"A semiliquid mass removed from the liquid flow of sewage and subjected to aeration and aerobic microbial action. The end product is dark to golden brown, partially decomposed, granular and flocculent, and has an earthy odor when fresh."
activation,
