,TermUpper,Term,Definitions,Acronym,Source
0,AIRCRAFT,Aircraft,,,GCMD platforms
0,AIRCRAFT,AIRCRAFT,,AIRCRAFT,GCMD platforms
0,AIRCRAFT,Aircraft,,,GCMD PlatformType
0,"GODDARDÂ€™S LIDAR, HYPERSPECTRAL AND THERMAL (G-LIHT) AIRBORNE IMAGING SYSTEM","Goddardâ€™s LiDAR, Hyperspectral and Thermal (G-LiHT) airborne imaging system","Goddard’s Lidar, Hyperspectral and Thermal (G-LiHT) airborne
imaging system simultaneously maps the composition, structure, and function
of terrestrial ecosystems. The G-LiHT platform is comprised of Light
Ranging and Detection (LiDAR), visible and near-infrared (VNIR) imaging
spectroscopy, and broad band thermal instruments.

Additional Information: https://gliht.gsfc.nasa.gov",G-LiHT,GCMD platforms
0,"GODDARDÂ€™S LIDAR, HYPERSPECTRAL AND THERMAL (G-LIHT) AIRBORNE IMAGING SYSTEM","Goddardâ€™s LiDAR, Hyperspectral and Thermal (G-LiHT) airborne imaging system","Goddard’s LiDAR, Hyperspectral and Thermal (G-LiHT) project at the
Biospheric Sciences Laboratory at NASA’s Goddard Space Flight Center
designs airborne missions that permit simultaneous measurements of
vegetation structure, foliar spectra and surface temperatures. G-LiHT has
been operational since 2011 and provides scientists with open access to
data that are needed to understand the relationship between ecosystem form
and function and to stimulate the advancement of synergistic algorithms.

Additional Information: https://gliht.gsfc.nasa.gov/",G-LiHT,GCMD projects
0,BALLOONS/ROCKETS,Balloons/Rockets,"Balloons : a nonporous bag of light material that can be inflated especially
with air or gas.  A bag that is filled with heated air or a 
gas lighter than air
so as to rise and float in the atmosphere and that usually 
carries a suspended
load (as a gondola with passengers).

Rockets:  A jet engine that operates on the same principle 
as the firework
rocket, consists essentially of a combustion chamber and an 
exhaust nozzle,
carries either liquid or solid propellants which provide the 
fuel and oxygen
needed for combustion and thus make the engine independent 
of the oxygen of the
air, and is used especially for the propulsion of a missile 
(as a bomb or shell)
or a vehicle (as an airplane).  A rocket-propelled bomb, 
missile, projectile, or
vehicle.


Group: Platform_Details
   Entry_ID: Balloons/Rockets
   Group: Platform_Identification
      Platform_Category: Balloons/Rockets
      Short_Name: Balloons/Rockets
   End_Group
End_Group",,GCMD platforms
0,BALLOONS/ROCKETS,Balloons/Rockets,,,GCMD PlatformType
0,EARTH OBSERVATION SATELLITES,Earth Observation Satellites,"Earth observation satellites are satellites specifically designed to observe Earth from orbit, similar to spy satellites but intended for non-military uses such as environmental monitoring, meteorology, map making etc.

Source: Wikipedia, http://en.wikipedia.org/wiki/Earth_observation_satellite


Group: Platform_Details
   Entry_ID: Earth Observation Satellites
   Group: Platform_Identification
      Platform_Category: Earth Observation Satellites
      Short_Name: Earth Observation Satellites
   End_Group
End_Group",,GCMD platforms
0,EARTH OBSERVATION SATELLITES,Earth Observation Satellites,,,GCMD PlatformType
0,DEFENSE METEOROLOGICAL SATELLITE PROGRAM,Defense Meteorological Satellite Program,"The Defense Meteorological Satellite Program (DMSP) is a
Department of Defense (DoD) program run by the Air Force Space
and Missle Systems Center (SMC). The DMSP designs, builds,
launches, and maintains satellites monitoring the
meteorological, oceanographic, and solar-terrestrial physics
environments.

Each DMSP satellite has a 101 minute, sun-synchronous near-polar
orbit at an altitude of 830km above the surface of the
earth. The visible and infrared sensors (OLS) collect images
across a 3000km swath, providing global coverage twice per
day. The combination of day/night and dawn/dusk satellites
allows monitoring of global information such as clouds every 6
hours. The microwave imager (MI) and sounders (T1, T2) cover one
half the width of the visible and infrared swath. These
instruments cover polar regions at least twice and the
equatorial region once per day. The space environment sensors
(J4, M, IES) record along-track plasma densities, velocities,
composition and drifts.

The data from the DMSP satellites are received and used at
operational centers continuously. The data are sent to the
National Geophysical Data Centers Solar Terrestrial Physics
Division (NGDC/STP) by the Air Force Weather Agency (AFWA) for
creation of an archive.

Additional information available at
http://dmsp.ngdc.noaa.gov/dmsp.html

[Summary provided by NOAA]


Group: Platform_Details
   Entry_ID: DMSP
   Group: Platform_Identification
      Platform_Category: Earth Observation Satellites
      Platform_Series_or_Entity: DMSP (Defense Meteorological Satellite Program)
      Short_Name: DMSP
      Long_Name: Defense Meteorological Satellite Program
   End_Group
   Group: Platform_Associated_Instruments
      Short_Name: GAMMA RADIATION DETECTOR
   End_Group
   Group: Orbit
      Orbit_Type: LEO > Low Earth Orbit > Polar Sun-Synchronous
   End_Group
   Creation_Date: 2007-09-12
   Online_Resource: http://www.ngdc.noaa.gov/dmsp/index.html
   Sample_Image: http://heasarc.gsfc.nasa.gov/Images/misc_missions/dmsp_sat.gif
   Group: Platform_Logistics
      Launch_Date: 1972-12-01
      Primary_Sponsor: NOAA
   End_Group
End_Group",DMSP,GCMD platforms
