Term,Description,Context
IAU,International Astronomical Union,Gazetteer of Planetary Nomenclature International Astronomical Union (IAU) 
WGPSN,Working Group for Planetary System Nomenclature,International Astronomical Union (IAU) Working Group for Planetary System Nomenclature (WGPSN) 
AL,Albedo Feature,Description Albedo Feature (AL) 
AR,"Arcus, arcūs","Geographic area distinguished by amount of reflected light Arcus, arcūs (AR) "
AS,"Astrum, astra","Arc-shaped feature Astrum, astra (AS) "
CA,"Catena, catenae","Radial-patterned features on Venus Catena, catenae (CA) "
CB,"Cavus, cavi","Chain of craters Cavus, cavi (CB) "
CH,"Chaos, chaoses","Hollows, irregular steep-sided depressions usually in arrays or clusters Chaos, chaoses (CH) "
CO,"Collis, colles","A deep, elongated, steep-sided depression Collis, colles (CO) "
CR,"Corona, coronae","Small hills or knobs Corona, coronae (CR) "
AA,"Crater, craters","Ovoid-shaped feature Crater, craters (AA) "
DO,"Dorsum, dorsa","A circular depression Dorsum, dorsa (DO) "
ER,Eruptive center,Ridge Eruptive center (ER) 
FA,"Facula, faculae","Active volcanic centers on Io Facula, faculae (FA) "
FR,"Farrum, farra","Bright spot Farrum, farra (FR) "
FE,"Flexus, flexūs","Pancake-like structure, or a row of such structures Flexus, flexūs (FE) "
FL,"Fluctus, fluctūs","A very low curvilinear ridge with a scalloped pattern Fluctus, fluctūs (FL) "
FM,"Flumen, flumina","Flow terrain Flumen, flumina (FM) "
FO,"Fossa, fossae","Channel on Titan that might carry liquid Fossa, fossae (FO) "
FT,"Fretum, freta","Long, narrow depression Fretum, freta (FT) "
IN,"Insula, insulae","Strait, a narrow passage of liquid connecting two larger areas of liquid Insula, insulae (IN) "
LA,"Labes, labēs","Island (islands), an isolated land area (or group of such areas) surrounded by, or nearly surrounded by, a liquid area (sea or lake) Labes, labēs (LA) "
LB,"Labyrinthus, labyrinthi","Landslide Labyrinthus, labyrinthi (LB) "
LU,"Lacuna, lacunae","Complex of intersecting valleys or ridges. Lacuna, lacunae (LU) "
LC,"Lacus, lacūs","Irregularly shaped depression on Titan having the appearance of a dry lake bed Lacus, lacūs (LC) "
LF,Landing site name,"""Lake"" or small plain; on Titan, a ""lake"" or small, dark plain with discrete, sharp boundaries Landing site name (LF) "
LG,Large ringed feature,Lunar features at or near Apollo landing sites Large ringed feature (LG) 
LN,"Lingula, lingulae","A dark or bright elongate marking, may be curved or straight Lingula, lingulae (LN) "
MA,"Macula, maculae","Extension of plateau having rounded lobate or tongue-like boundaries Macula, maculae (MA) "
ME,"Mare, maria","Dark spot, may be irregular Mare, maria (ME) "
MN,"Mensa, mensae","Mars, dark albedo areas of no known geological significance; on Titan, large expanses of dark materials thought to be liquid hydrocarbons Mensa, mensae (MN) "
MO,"Mons, montes","A flat-topped prominence with cliff-like edges Mons, montes (MO) "
OC,"Oceanus, oceani","Mountain Oceanus, oceani (OC) "
PA,"Palus, paludes","A very large dark area on the moon Palus, paludes (PA) "
PE,"Patera, paterae","""Swamp""; small plain Patera, paterae (PE) "
PL,"Planitia, planitiae","An irregular crater, or a complex one with scalloped edges Planitia, planitiae (PL) "
PM,"Planum, plana","Low plain Planum, plana (PM) "
PU,"Plume, plumes","Plateau or high plain Plume, plumes (PU) "
PR,"Promontorium, promontoria","Cryo-volcanic features on Triton Promontorium, promontoria (PR) "
RE,"Regio, regiones","""Cape""; headland promontoria Regio, regiones (RE) "
RT,"Reticulum, reticula","A large area marked by reflectivity or color distinctions from adjacent areas, or a broad geographic region Reticulum, reticula (RT) "
RI,"Rima, rimae","reticular (netlike) pattern on Venus Rima, rimae (RI) "
RU,"Rupes, rupēs","Fissure Rupes, rupēs (RU) "
SF,Satellite Feature,Scarp Satellite Feature (SF) 
SA,"Saxum, saxa","A feature that shares the name of an associated feature. For example, on the Moon the craters referred to as ""Lettered Craters"" are classified in the gazetteer as ""Satellite Features."" Saxum, saxa (SA) "
SC,"Scopulus, scopuli","Boulder or rock Scopulus, scopuli (SC) "
SE,"Serpens, serpentes","Lobate or irregular scarp Serpens, serpentes (SE) "
SI,"Sinus, sinūs","Sinuous feature with segments of positive and negative relief along its length Sinus, sinūs (SI) "
SU,"Sulcus, sulci","""Bay""; small plain; on Titan, bays within seas or lakes of liquid hydrocarbons Sulcus, sulci (SU) "
TA,"Terra, terrae","Subparallel furrows and ridges Terra, terrae (TA) "
TE,"Tessera, tesserae","Extensive land mass Tessera, tesserae (TE) "
TH,"Tholus, tholi","Tile-like, polygonal terrain Tholus, tholi (TH) "
UN,"Unda, undae","Small domical mountain or hill Unda, undae (UN) "
VA,"Vallis, valles","Dunes Vallis, valles (VA) "
VS,"Vastitas, vastitates","Valley Vastitas, vastitates (VS) "
