Term,Description,Context
MAP,Microwave Anisotropy Probe, 213 196 Microwave Anisotropy Probe (MAP) 
LRO,Lunar Reconnaissance Orbiter, 264 221 Lunar Reconnaissance Orbiter (LRO) 
LCROSS,Lunar Crater Observation and Sensing Satellite,222 Lunar Crater Observation and Sensing   Satellite (LCROSS) 
VCO,Venus Climate Orbiter, 269 223 Venus Climate Orbiter (VCO) / Akatsuki 
MOM,Mars Orbiter Mission, 287 233 Mangalyaan / Mars Orbiter Mission (MOM) 
JPL,Jet Propulsion Laboratory,"sponsoring the missions, including, for example,  the Jet Propulsion Laboratory (JPL), the Applied  "
APL,Physics Laboratory," Physics Laboratory (APL), and the S. A. Lavochkin  "
CSSC,Communications Support Service Center,of this publication.Thanks also go to the Communications  Support Service Center (CSSC) team of talented  
ARPA,Advanced Research Projects Agency,"probes later in the year, all under the supervision of  the Advanced Research Projects Agency (ARPA) as  "
STL,Space Technology Laboratories,"attempted deep space launch by any country. The  Able 1 spacecraft, a squat conical fiberglass struc-ture built by Space Technology Laboratories (STL),  "
IRBM,Thor intermediate range ballistic missile,three-stage variant of the Thor intermediate range  ballistic missile (IRBM) with elements appropri-ated from the Vanguard rocket used on its second  
NASA,Aeronautics and Space Administration,"National Aeronautics and Space Administration  (NASA). The spacecraft was very similar in design to the Able 1 probe and like its predecessor, built by  "
STL,Space Technology Laboratories,"(NASA). The spacecraft was very similar in design to the Able 1 probe and like its predecessor, built by  Space Technology Laboratories (STL). The probe  "
NASA,National Aeronautics and Space Administration,was the ˜rst spacecraft launched by the 11-day-old  National Aeronautics and Space Administration (NASA).  
ALS,Automatic Lunar Station,"Scientific Instruments:1. imaging system2. gamma-ray spectrometer3. KS-17M radiation detectorA model of the Ye-6-type lunar lander (the ALS) shows its ingenuous ﬁpetalﬂ design. In scene I, we see the Luna space -craft with (1) Automatic Lunar Station (ALS) which is covered by (3) a thermal covering. Ideally, at an altitude of 75 kilome "
AIMP,Anchored Interplanetary Monitoring Platform,"6. magnetometer (from GSFC)7. solar cell damage experimentResults: It was hoped that Explorer XXXIII (33), also known as the Anchored Interplanetary Monitoring  Platform (AIMP), would become the first U.S. spacecraft to enter lunar orbit (planned parameters were 1,300 × 6,440 kilometers at 175° inclina-tion), but the Thor Delta E-1 second stage accel-erated too rapidly, ensuring that lunar orbit would  "
NRO,National Reconnaissance Office,"the Cold War, the Eastman Kodak camera flown on  the Lunar Orbiters was originally developed by the National Reconnaissance Office (NRO) and flown on the Samos E-1 spy satellite. The narrow-angle pictures taken by this system provided resolution up to 60 to 80 meters, while the wide-angle photos showed resolutions up to 0.5 kilometers. Lunar Orbiter I was launched into a parking orbit around  "
EVA,," (EVA) on 19 November, the astronauts walked over  "
DSN,Deep Space Network,"the same year, NASA scientists at the Deep Space  Network (DSN) announced that they had man-aged to quadruple the distance over which signals  "
TETR-B,and Training Satellite known as Tetr II,launch vehicle also carried the Test and Training  Satellite known as Tetr II (TETR-B) which was  
SETI,use Search for Extraterrestrial Intelligence,having transmitted more than 6 billion bits of data. NASA maintained contact with Pioneer IX until 19 May 1983. Subsequent attempts to use Search  for Extraterrestrial Intelligence (SETI) equipment to establish contact with the probe on 3 March  
DOK,Engine Orien tation Complex,"years after President John F. Kennedy™s famous  speech calling on the United States to land an American on the Moon before the end of the 1960s. Development of both the N1 rocket and the L3 payload was plagued by many delays. On this first launch, the N1 carried a basic 7K-L1 space-craft modified for operations in lunar orbit (rather than for circumlunar flight). Known as the 7K-L1S, the spacecraft was equipped with an Engine Orien-tation Complex (DOK) for attitude control in lunar orbit. The plan was for the spacecraft to carry out a short mission in lunar orbit (during which time it  "
CC&S,kilogram Control Computer and Sequencer,of the spacecraft was the 11.8-kilogram Control  Computer and Sequencer (CC&S) computer which was designed to independently operate Mariner without intervention from ground control.  
TsKBM,Central Design Bureau of Machine Building,"second stage at T+127 seconds and the booster was destroyed. Subsequently, the design organiza -tion responsible for the Proton, the Central Design Bureau of Machine Building (TsKBM) headed  "
ITD,for determining pressure and temperature,Launch Site: NIIP-5 / Site 31/6 Scientific Instruments:Bus:1. KS-18-4M cosmic ray detectorLander:1. GS-4 gamma-ray spectrometer2. instrument for determining pressure and temperature (ITD)3. DOU-1M instrument for measuring maxi-mal acceleration during brakingResults: Venera 7 was one of a pair of spacecraft pre 
ITD,for determining pressure and temperature,Launch Site: NIIP-5 / Site 31/6 Scientific Instruments:Bus:1. KS-18-4M cosmic ray detectorLander:1. GS-4 gamma-ray spectrometer2. instrument for determining pressure and temperature (ITD)3. DOU-1M instrument for measuring maxi-mal acceleration during brakingResults: This was the second of a pair of probes designed to land on Venus and transmit informa 
LRO,Lunar Reconnaissance Orbiter,"Based on images taken in 2009 and 2010, NASA™s  Lunar Reconnaissance Orbiter (LRO) was able to  "
LRO,Reconnaissance Orbiter,data from NASA™s Lunar Reconnaissance Orbiter  (LRO) which allowed a precise determination (to  
MRO,Mars Reconnaissance Orbiter," radiation. In April 2013, NASA announced that its  Mars Reconnaissance Orbiter (MRO) may have  "
