Term,Description,Context
PCK,to the NAIF planet kernel,"Bit Type: Refers to how many bits there are per single meaningful value in an image file. Here 8 bit represents values from 0 to 255, 16bit represents values from -32768 to 32767, and 32bit represents floating point values from -3.40282E+38 to 3.04282E+38. For more see. Body Fixed Coordinate: A planetary coordinate system where the coordinates are not time varying. For a body-fixed reference frame, ISIS refers to the NAIF planet kernel (PCK) for high-accuracy orientation (rotation) data for any solar system target body. This kernel includes location of the pole, prime meridian, axis directions of a body-fixed, body-centered reference frame and spin rate. "
NS,the number of samples,"Control Point: One or more measurements (image coordinates) that identify the same feature or location in different overlapping images. CUB: Extension name for cube image file format used by Astrogeology's Integrated Software for Imagers and Spectrometers software. A cube is a 3-dimensional image with axis; samples, lines, and bands. The physical dimensions of a cube are called the number of samples (NS), number of lines (NL), and number of bands (NB). For application and conversion support see. "
NL,"(NS), number of lines","Control Point: One or more measurements (image coordinates) that identify the same feature or location in different overlapping images. CUB: Extension name for cube image file format used by Astrogeology's Integrated Software for Imagers and Spectrometers software. A cube is a 3-dimensional image with axis; samples, lines, and bands. The physical dimensions of a cube are called the number of samples (NS), number of lines (NL), and number of bands (NB). For application and conversion support see. "
NB,and number of bands,"Control Point: One or more measurements (image coordinates) that identify the same feature or location in different overlapping images. CUB: Extension name for cube image file format used by Astrogeology's Integrated Software for Imagers and Spectrometers software. A cube is a 3-dimensional image with axis; samples, lines, and bands. The physical dimensions of a cube are called the number of samples (NS), number of lines (NL), and number of bands (NB). For application and conversion support see. "
NS,the number of samples,"CUB: Extension name for cube image file format used by Astrogeology's Integrated Software for Imagers and Spectrometers software. A cube is a 3-dimensional image with axis; samples, lines, and bands. The physical dimensions of a cube are called the number of samples (NS), number of lines (NL), and number of bands (NB). For application and conversion support see. Cube: A cube is a image file format used by Astrogeology's Integrated Software for Imagers and Spectrometers software. The image can be a 3-dimensional image with axis; samples, lines, and bands. The physical dimensions of a cube are called the number of samples (NS), number of lines (NL), and number of bands (NB). For application and conversion support see. "
NL,"(NS), number of lines","CUB: Extension name for cube image file format used by Astrogeology's Integrated Software for Imagers and Spectrometers software. A cube is a 3-dimensional image with axis; samples, lines, and bands. The physical dimensions of a cube are called the number of samples (NS), number of lines (NL), and number of bands (NB). For application and conversion support see. Cube: A cube is a image file format used by Astrogeology's Integrated Software for Imagers and Spectrometers software. The image can be a 3-dimensional image with axis; samples, lines, and bands. The physical dimensions of a cube are called the number of samples (NS), number of lines (NL), and number of bands (NB). For application and conversion support see. "
NB,and number of bands,"CUB: Extension name for cube image file format used by Astrogeology's Integrated Software for Imagers and Spectrometers software. A cube is a 3-dimensional image with axis; samples, lines, and bands. The physical dimensions of a cube are called the number of samples (NS), number of lines (NL), and number of bands (NB). For application and conversion support see. Cube: A cube is a image file format used by Astrogeology's Integrated Software for Imagers and Spectrometers software. The image can be a 3-dimensional image with axis; samples, lines, and bands. The physical dimensions of a cube are called the number of samples (NS), number of lines (NL), and number of bands (NB). For application and conversion support see. "
EMA,Angle: The emission angle,"Elevation: The height above or below a fixed point on the surface of a body. Emission Angle: The emission angle (EMA) is the angle between the spacecraft and a vector drawn perpendicular to the planet's surface (surface normal). Using SPICE, ISIS applications compute this angle from the ellipsoid. Emission Angle is in degrees. The valid range is between 0 and 90. "
ET,Ephemeris Time,"Ephemeris: An ephemeris (plural ephemerides) is a table of values that gives the positions of astronomical objects in the sky at a given time or times. Ephemeris Time: Ephemeris Time (ET) as defined by NAIF (Toolkit used by ISIS), is the uniform scale represented by the independent variable in the differential equations that describe the motions of the planets, sun and moon. Ephemeris time is described as a count of ephemeris seconds past the ephemeris reference epoch (J2000). The basic spatial reference system for SPICE is the J2000 system. This is an inertial reference frame in which the equations of motion for the solar system may be integrated. This reference frame is specified by the orientation of the earth's mean equator and equinox at a particular ephoch...the J2000 epoch. This epoch is Greenwich noon on January 1 2000 Barycentric Dynamical Time. Ephemeris Time is in seconds. "
RA,Right Ascension,"Equirectangular Projection: The equirectangular projection is a simple map projection that maps meridians to equally spaced vertical straight lines, and circles of latitude to evenly spread horizontal straight lines. Euler Angles: All the NAIF orientation models use three Euler angles to describe body orientation. The Euler angles describe the orientation of the coordinate axes of the 'body equator and prime meridian' system with respect to the J2000 system. For more information, refer to Right Ascension (RA), Declination (Dec) and Prime Meridian (W) "
