Term,Description,Context
USA,Launch Date1968 Responsible AgencyNASA,"Mission Typeorbiter Mission Duration6 days, 3 hours Launch Date1968 Responsible AgencyNASA (USA) "
USA,Launch Date1969 Responsible AgencyNASA,"Mission Typeorbiter Mission Duration8 days, 3 minutes Launch Date1969 Responsible AgencyNASA (USA) "
USA,Launch Date1969 Responsible AgencyNASA,"Mission Typelander Mission Duration8 days, 3 hours, 18 minutes Launch Date1969 Responsible AgencyNASA (USA) "
USA,Launch Date1969 Responsible AgencyNASA,"Mission Typelander Mission Duration10 days, 4 hours, 36 minutes Launch Date1969 Responsible AgencyNASA (USA) "
PSE,Passive Seismic Experiment,"Instrument Function various experiments including a Passive Seismic Experiment (PSE), Suprathermal Ion Detector Experiment (SIDE), Solar Wind Spectrometer (SWS), Lunar Surface Magnetometer (LSM), Lunar Dust Detector (LDD) and Cold Cathode Gauge (CCG) "
SIDE,Suprathermal Ion Detector Experiment,"Instrument Function various experiments including a Passive Seismic Experiment (PSE), Suprathermal Ion Detector Experiment (SIDE), Solar Wind Spectrometer (SWS), Lunar Surface Magnetometer (LSM), Lunar Dust Detector (LDD) and Cold Cathode Gauge (CCG) "
SWS,Solar Wind Spectrometer,"Instrument Function various experiments including a Passive Seismic Experiment (PSE), Suprathermal Ion Detector Experiment (SIDE), Solar Wind Spectrometer (SWS), Lunar Surface Magnetometer (LSM), Lunar Dust Detector (LDD) and Cold Cathode Gauge (CCG) "
LSM,Lunar Surface Magnetometer,"Instrument Function various experiments including a Passive Seismic Experiment (PSE), Suprathermal Ion Detector Experiment (SIDE), Solar Wind Spectrometer (SWS), Lunar Surface Magnetometer (LSM), Lunar Dust Detector (LDD) and Cold Cathode Gauge (CCG) "
LDD,Lunar Dust Detector,"Instrument Function various experiments including a Passive Seismic Experiment (PSE), Suprathermal Ion Detector Experiment (SIDE), Solar Wind Spectrometer (SWS), Lunar Surface Magnetometer (LSM), Lunar Dust Detector (LDD) and Cold Cathode Gauge (CCG) "
CCG,Cold Cathode Gauge,"Instrument Function various experiments including a Passive Seismic Experiment (PSE), Suprathermal Ion Detector Experiment (SIDE), Solar Wind Spectrometer (SWS), Lunar Surface Magnetometer (LSM), Lunar Dust Detector (LDD) and Cold Cathode Gauge (CCG) "
