Term,Description,Context
D-RAP,Forecast D Region Absorption Predictions,CTIPe Total Electron Content Forecast D Region Absorption Predictions (D-RAP) 
SUVI,GOES Solar Ultraviolet Imager,GOES Proton Flux GOES Solar Ultraviolet Imager (SUVI) 
STEREO,Solar Wind Solar TErrestrial RElations Observatory,ExperimentalACE Real-Time Solar Wind Solar TErrestrial RElations Observatory (STEREO) 
ADF,< 30. active dark filament,A descriptive word specifically meaning (1) a probability of ~50% for an M- class x-ray flare (see x-ray flare class); (2) disturbed geomagnetic levels such that 16 < Ak index < 30. active dark filament (ADF) 
APR,of time. active prominence region,A prominence above the solar limb moving and changing in appearance over a few minutes of time. active prominence region (APR) 
AR,active region. active region,A portion of the solar limb displaying active prominences; typically associated with an active region. active region (AR) 
ASR,bipolar groups. active surge region,"A localized, transient volume of the solar atmosphere in which plages, sunspots, faculae, flares, etc., may be observed. Active regions are the result of enhanced magnetic fields; they are bipolar and may be complex if the region contains two or more bipolar groups. active surge region (ASR) "
AFS,mass ejection. arch filament system,"A series of magnetic loops, overlying a solar inversion line.  Can become visible or enhanced following a nearby coronal mass ejection. arch filament system (AFS) "
BSD,bright surge on the disk,"A short-lived brightening of flare or near flare intensity, less than ten millionths of the solar hemisphere in area. bright surge on the disk (BSD) "
BSL,bright surge on the limb,A bright stream of gas seen against the solar disk. BSDs are often flare related and commonly fan out from the flare site. See also bright surge on the limb. bright surge on the limb (BSL) 
CMP,10 cm. central meridian passage,A solar radio burst in the centimeter wavelength range of 1 to 10 cm. central meridian passage (CMP) 
CTM,from the photosphere. continuum storm,Optical radiation arising from broadband emission from the photosphere. continuum storm (CTM) 
UTC,Coordinated Universal Time,"The bulk transport of plasma (or gas) from one place to another, in response to mechanical forces (for example, viscous interaction with the solar wind) or electromagnetic forces. Coordinated Universal Time (UTC) "
CME,magnetic topology. coronal mass ejection,A typical structure of enhanced corona observed in EUV lines and soft x-rays.  Coronal loops represent ”closed” magnetic topology. coronal mass ejection (CME) 
