Input Term,isAcronym,Extracted Term,isDescription,Description,Context
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
What Does This Publication Include?,False,,False,,
Where Is the Information From?,False,,False,,
What Kind of Information Have I,False,,False,,
Included?,False,,False,,
Conflicting Information,False,,False,,
Mission Designations,False,,False,,
Launch Sites,False,,False,,
Mission Goals,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
Absolute Firsts,False,,False,,
The Moon,False,,False,,
The Sun,False,,False,,
Mercury,False,,False,,
Venus,False,,False,,
Jupiter,False,,False,,
Saturn,False,,False,,
Mars Uranus,False,,False,,
Neptune,False,,False,,
Pluto Asteroids,False,,False,,
Comets,False,,False,,
Lagrange Points,False,,False,,
Dwarf Planets,False,,False,,
[Pioneer 0],False,,False,,
"[Luna, Ye-1 no. 1]",False,,False,,
Able 2 [Pioneer],False,,False,,
"[Luna, Ye-1 no. 2]",False,,False,,
Pioneer II,False,,False,,
Pioneer III,False,,False,,
"[Luna, Ye-1 no. 3]",False,,False,,
,False,,False,,
,False,,False,,
Soviet Space Rocket [Luna 1],False,,False,,
Pioneer IV,False,,False,,
"[Luna, Ye-1A no. 5]",False,,False,,
Second Soviet Space Rocket [Luna 2],False,,False,,
Automatic Interplanetary Station,False,,False,,
[Luna 3],False,,False,,
,False,,False,,
,False,,False,,
Able IVB [Pioneer],True,IVB,False,,
Pioneer V,False,,False,,
"[Luna, Ye-3 no. 1]",False,,False,,
"[Luna, Ye no. 2]",False,,False,,
"Able VA [Pioneer] [Mars, 1M no. 1]",True,VA,False,Return Vehicle,"testing out several new technologies. The space-craft was divided into three parts: a Flight Stage  (PM), a Return Vehicle (VA)Šwhich included a  "
"[Mars, 1M no. 2]",False,,False,,
Able VB [Pioneer],True,VB,False,,
Heavy Satellite [Venera],False,,False,,
Automatic Interplanetary Station,False,,False,,
[Venera 1],False,,False,,
Ranger I,False,,False,,
Ranger II,False,,False,,
,False,,False,,
Ranger III,False,,False,,
Ranger IV,False,,False,,
Mariner I,False,,False,,
"[Venera, 2MV-1 no. 3]",False,,False,,
Mariner II,False,,False,,
,False,,False,,
"[Venera, 2MV-1 no. 4] [Venera, 2MV-2 no. 1]",False,,False,,
Ranger V,False,,False,,
"[Mars, 2MV-4 no. 3]",False,,False,,
Mars 1,False,,False,,
"[Mars, 2MV-3 no. 1]",False,,False,,
"[Luna, Ye-6 no. 2]",False,,False,,
"[Luna, Ye-6 no. 3]",False,,False,,
Luna 4 Kosmos 21 [Zond],False,,False,,
,False,,False,,
,False,,False,,
"Ranger VI [Zond, 3MV-1A no. 4A]",False,,False,,
"[Luna, Ye-6 no. 6]",False,,False,,
Kosmos 27 [Venera],False,,False,,
Zond 1 [Venera],False,,False,,
