Input Term,isAcronym,Extracted Term,isDescription,Description,Context
Abiotic (factor),False,,False,,
Absolute Dating,False,,False,,
Accessory Pigment,False,,False,,
Acid,False,,False,,
Acid Rain,False,,False,,
Activation Energy,False,,False,,
Active Transport,False,,False,,
Adaptation,False,,False,,
Adaptive Radiation,False,,False,,
Adenosine  Triphosphate  (ATP),True,ATP,False,environmental niches Adenosine Triphosphate,"available, creates new challenges and opens environmental niches  Adenosine Triphosphate (ATP)  "
Adhesion,False,,False,,
Aerobic Respiration,False,,False,,
Agriculture,False,,False,,
Air Pollution,False,,False,,
Alcoholic  Fermentation,False,,False,,
Algal Bloom,False,,False,,
Allele,False,,False,,
Allele Frequency,False,,False,,
Allopatric  Speciation,False,,False,,
Amino Acid,False,,False,,
Anabolic Pathway,False,,False,,
Analogous Structure,False,,False,,
Anabolic Reaction,False,,False,,
Anaerobic Respiration,False,,False,,
Anaphase,False,,False,,
Anticodon,False,,False,,
Aphotic Zone,False,,False,,
Aquaporin,False,,False,,
Aquatic,False,,False,,
Artificial  Selection,False,,False,,
Asexual Reproduction,False,,False,,
Atom,False,,False,,
ATP (adenosine triphosphate),True,ATP,False,environmental niches Adenosine Triphosphate,"available, creates new challenges and opens environmental niches  Adenosine Triphosphate (ATP)  "
ATP synthase,True,ATP,False,environmental niches Adenosine Triphosphate,"available, creates new challenges and opens environmental niches  Adenosine Triphosphate (ATP)  "
Autosome,False,,False,,
Autotroph (producer),False,,False,,
Base,False,,False,,
Behavioral Isolation,False,,False,,
Beneficial Mutation,False,,False,,
Binary Fission,False,,False,,
Biochemical Conversion,False,,False,,
Biochemical Reaction,False,,False,,
Biodiversity,False,,False,,
Bioenergetics,False,,False,,
Bioflim,False,,False,,
Biogeochemical Cycles,False,,False,,
Biological Interactions,False,,False,,
Biological  Macromolecules,False,,False,,
Biology,False,,False,,
Biomass,False,,False,,
Biome,False,,False,,
Biosphere,False,,False,,
Biotechnology,False,,False,,
Biotic (factor),False,,False,,
Boiling Point,False,,False,,
Budding,False,,False,,
Buffer,False,,False,,
Calvin Cycle,False,,False,,
Cancer,False,,False,,
Capillary Action,False,,False,,
Carbohydrate,False,,False,,
Carbon Cycle,False,,False,,
Carnivore,False,,False,,
Carrier (Transport) Proteins,False,,False,,
Carrying Capacity (K),False,,False,,
Catabolic Pathway,False,,False,,
Catabolic Reaction,False,,False,,
Catalyst,False,,False,,
Cell,False,,False,,
Cell Cycle,False,,False,,
Cell Division,False,,False,,
Cell Theory,False,,False,,
Cellular  Respiration,False,,False,,
Cell Wall,False,,False,,
Central Dogma of Biology,False,,False,,
Centrioles,False,,False,,
Centromere,False,,False,,
Channel  protein,False,,False,,
Chargaff’s Rules,False,,False,,
Chemical Bond,False,,False,,
Chemical Reaction,False,,False,,
Chemiosmosis,False,,False,,
Chemiosmotic gradient,False,,False,,
Chemoautotroph,False,,False,,
Chemosynthesis,False,,False,,
Chlorophyll,False,,False,,
Chloroplast,False,,False,,
Chromatid,False,,False,,
Chromatin,False,,False,,
Chromosomal Alteration (Mutation),False,,False,,
",",False,,False,,
Chromosomes,False,,False,,
Clade,False,,False,,
Climate,False,,False,,
Climax Community,False,,False,,
Cloning,False,,False,,
Co dominance,False,,False,,
Codon,False,,False,,
Coevolution,False,,False,,
Cohesion,False,,False,,
Commensalism,False,,False,,
Community (Ecological),False,,False,,
Comparative Anatomy,False,,False,,
Comparative Embryology,False,,False,,
Competition,False,,False,,
Competitive  Exclusion  Principle,False,,False,,
Complementary Base Pair,False,,False,,
Compound,False,,False,,
Compound Light Microscope,False,,False,,
Concentration,False,,False,,
Concentration Gradient,False,,False,,
Condensation,False,,False,,
Consumer (Heterotroph; Ecological),False,,False,,
Contractile Vacuole,False,,False,,
Convergent Evolution,False,,False,,
Coral,False,,False,,
Coral  Reef,False,,False,,
Cristae,False,,False,,
Crossing over,False,,False,,
Cytokinesis,False,,False,,
Cytolysis,False,,False,,
Cytoplasm,False,,False,,
Cytoskeleton,False,,False,,
Cytoplasmic streaming,False,,False,,
Cytosol,False,,False,,
Daughter Cell,False,,False,,
,False,,False,,
Dead Zone,False,,False,,
Deciduous Plant,False,,False,,
Decomposer,False,,False,,
Demographic Transition,False,,False,,
Density Dependent,False,,False,,
Density Independent,False,,False,,
Deoxyribonucleic Acid (DNA),True,DNA,False,,
Dependent Variable,False,,False,,
Detritivore,False,,False,,
Detritus,False,,False,,
Differentiation,False,,False,,
Diffusion,False,,False,,
Diploid,False,,False,,
Directional Selection,False,,False,,
Dispersal,False,,False,,
Disruptive selection,False,,False,,
Divergent Evolution,False,,False,,
DNA (deoxyribonucleic acid),True,DNA,False,,
DNA Fingerprinting,True,DNA,False,,
DNA Replication,True,DNA,False,,
Dominant Allele,False,,False,,
Double Helix,False,,False,,
Duplication,False,,False,,
Ecological pyramid,False,,False,,
Ecological Succession,False,,False,,
Ecology,False,,False,,
Ecosystem,False,,False,,
Editing,False,,False,,
Electrochemical  Gradient,False,,False,,
Electron Transport Chain (ETC),True,ETC,False,,
Elongation,False,,False,,
Embryology,False,,False,,
Emigration,False,,False,,
Endemic Species,False,,False,,
Endergonic Reactions,False,,False,,
Endocytosis,False,,False,,
Endomembrane System,False,,False,,
Endoplasmic Reticulum (ER),True,ER,False,,
