Input Term,Input Definitions,isAcronym,Extracted Term,isDescription,Description,Context
Mercury,,False,,False,,
Venus,,False,,False,,
Earth,,False,,False,,
Earth I (Moon),"Every civilization has had a name for the satellite of Earth that is known, in English, as the Moon. The Moon is known as Luna in Italian, Latin, and Spanish, as Lune in French, as Mond in German, and as Selene in Greek.",False,,False,,
Mars,,False,,False,,
Mars I (Phobos),"Inner satellite of Mars. Named for one of the horses that drew Mars' chariot; also called an ""attendant"" or ""son"" of Mars, according to chapter 15, line 119 of Homer's ""Iliad."" This Greek word means ""flight.""",False,,False,,
Mars II (Deimos),"This outer Martian satellite was named for one of the horses that drew Mars' chariot; also called an ""attendant"" or ""son"" of Mars, according to chapter 15, line 119 of Homer's ""Iliad."" Deimos means ""fear"" in Greek.",False,,False,,
(433) Eros,Named for the Greek god of love.,False,,False,,
(951) Gaspra,Named for a resort on the Crimean Peninsula.,False,,False,,
(243) Ida,"Named for a nymph who raised the infant Zeus. Ida is also the name of a mountain on the island of Crete, the location of the cave where Zeus was reared.",False,,False,,
(243) Ida I (Dactyl),"Named for a group of mythological beings who lived on Mount Ida, where the infant Zeus was hidden and raised (according to some accounts) by the nymph Ida.",False,,False,,
(253) Mathilde,The name was suggested by a staff member of the Paris Observatory who first computed an orbit for Mathilde. The name is thought to honor the wife of the vice director of the Paris Observatory at that time.,False,,False,,
(22) Kalliope I (Linus),"Satellite of (22) Kalliope. In various accounts of Greek mythology, Linus is considered to be the son of the Muse Kalliope and the inventor of melody and rhythm.",False,,False,,
(45) Eugenia I (Petit-Prince),"Satellite of (45) Eugenia. The Little Prince, Napolean-Eugene-Louis-Jean-Joseph Bonaparte (1856-1879), was the son of Eugenia de Montijo de Guzm\'an and Napoleon III.",False,,False,,
Jupiter,,False,,False,,
Jupiter I (Io),"Io, the daughter of Inachus, was changed by Jupiter into a cow to protect her from Hera's jealous wrath. But Hera recognized Io and sent a gadfly to torment her. Io, maddened by the fly, wandered throughout the Mediterranean region.",False,,False,,
Jupiter II (Europa),"Beautiful daughter of Agenor, king of Tyre, she was seduced by Jupiter, who had assumed the shape of a white bull. When Europa climbed on his back he swam with her to Crete, where she bore several children, including Minos.",False,,False,,
Jupiter III (Ganymede),Beautiful young boy who was carried to Olympus by Jupiter disguised as an eagle. Ganymede then became the cupbearer of the Olympian gods.,False,,False,,
Jupiter IV (Callisto),"Beautiful daughter of Lycaon, she was seduced by Jupiter, who changed her into a bear to protect her from Hera's jealousy.",False,,False,,
Jupiter V (Amalthea),A naiad who nursed the new-born Jupiter. She had as a favorite animal a goat which is said by some authors to have nourished Jupiter. The name was suggested by Flammarion.,False,,False,,
Jupiter VI (Himalia),A Rhodian nymph who bore three sons of Zeus.,False,,False,,
Jupiter VII (Elara),"Daughter of King Orchomenus, a paramour of Zeus, and by him the mother of the giant Tityus.",False,,False,,
Jupiter VIII (Pasiphae),"Wife of Minos, king of Crete. Zeus made approaches to her as a bull (taurus). She then gave birth to the Minotaur. (Spelling changed from PasiphaÃ« to Pasiphae July 2009.)",False,,False,,
Jupiter IX (Sinope),"Daughter of the river god Asopus. Zeus desired to make love to her. Instead of this he granted perpetual virginity, after he had been deceived by his own promises. (In the same way, she also fooled Apollo.)",False,,False,,
Jupiter X (Lysithea),"Daughter of Kadmos, also named Semele, mother of Dionysos by Zeus. According to others, she was the daughter of Evenus and mother of Helenus by Jupiter.",False,,False,,
Jupiter XI (Carme),"A nymph and attendant of Artemis; mother, by Zeus, of Britomartis.",False,,False,,
Jupiter XII (Ananke),"Goddess of fate and necessity, mother of Adrastea by Zeus.",False,,False,,
Jupiter XIII (Leda),"Seduced by Zeus in the form of a swan, she was the mother of Pollux and Helen.",False,,False,,
Jupiter XIV (Thebe),"An Egyptian king's daughter, granddaughter of Io, mother of Aigyptos by Zeus. The Egyptian city of Thebes was named after her.",False,,False,,
Jupiter XV (Adrastea),A nymph of Crete to whose care Rhea entrusted the infant Zeus.,False,,False,,
Jupiter XVI (Metis),First wife of Zeus. He swallowed her when she became pregnant; Athena was subsequently born from the forehead of Zeus.,False,,False,,
Jupiter XVII (Callirrhoe),Daughter of the river god Achelous and stepdaughter of Zeus.,False,,False,,
Jupiter XVIII (Themisto),"Daughter of the Arcadian river god Inachus, mother of Ister by Zeus.",False,,False,,
Jupiter XIX (Megaclite),"Daughter of Macareus, who with Zeus gave birth to Thebe and Locrus.",False,,False,,
Jupiter XX (Taygete),"Daughter of Atlas, one of the Pleiades, mother of Lakedaimon by Zeus.",False,,False,,
Jupiter XXI (Chaldene),Bore the son Solymos with Zeus.,False,,False,,
Jupiter XXII (Harpalyke),"Daughter and wife of Clymenus. In revenge for this incestuous relationship, she killed the son she bore him, cooked the corpse, and served it to Clymenus. She was transformed into the night bird called Chalkis, and Clymenus hanged himself. Some say that she was transformed into that bird because she had intercourse with Zeus.",False,,False,,
