Input Term,isAcronym,Extracted Term,isDescription,Description,Context
,False,,False,,
,False,,False,,
1/f noise,False,,False,,
3G mobile communication,False,,False,,
5G mobile communication,False,,False,,
3GPP,False,,False,,
3GPP Standards,False,,False,,
4G mobile communication,False,,False,,
AC generators,True,AC,False,,
AC machines,True,AC,False,,
AC motors,True,AC,False,,
Abdomen,False,,False,,
Abrasives,False,,False,,
Access control,False,,False,,
Accelerated aging,False,,False,,
Access protocols,False,,False,,
Acceleration,False,,False,,
Accreditation Acoustic diffraction,False,,False,,
Acoustic distortion,False,,False,,
Accuracy,False,,False,,
Acoustic applications,False,,False,,
Acoustic emission,False,,False,,
Acoustic arrays,False,,False,,
Acoustic imaging,False,,False,,
Acoustic signal processing,False,,False,,
Acoustic noise,False,,False,,
Acoustic testing,False,,False,,
Acoustic phonetics Acoustic transducers,False,,False,,
Acoustic propagation,False,,False,,
Acoustic pulses,False,,False,,
Acoustic waveguides,False,,False,,
Acoustic reflection,False,,False,,
Acoustooptic devices,False,,False,,
Acoustooptic effects,False,,False,,
Acquired immune deficiency syndrome,False,,False,,
Actinium,False,,False,,
Action potentials,False,,False,,
Acoustoelectric devices,False,,False,,
Activation analysis,False,,False,,
Active filters,False,,False,,
Active noise reduction,False,,False,,
Active inductors,False,,False,,
Active pixel sensors,False,,False,,
Active matrix addressing Active RFID tags,True,RFID,False,,
Active shape model,False,,False,,
Active matrix liquid crystal displays,False,,False,,
Active matrix organic light emitting,False,,False,,
diodes Activity recognition,False,,False,,
Actuators,False,,False,,
Adaptive control,False,,False,,
Ad hoc networks,False,,False,,
Adaptive equalizers,False,,False,,
Adaptive estimation,False,,False,,
Adaptive filters,False,,False,,
Adaptive learning,False,,False,,
Adaptation models,False,,False,,
Adaptive algorithms,False,,False,,
Adaptive mesh refinement,False,,False,,
Adaptive optics,False,,False,,
Adaptive arrays,False,,False,,
Adaptive systems,False,,False,,
Adenoviruses,False,,False,,
Adhesive strength,False,,False,,
Adhesives,False,,False,,
Add-drop multiplexers,False,,False,,
Adiabatic,False,,False,,
Added delay,False,,False,,
Adders,False,,False,,
Admission control,False,,False,,
Admittance,False,,False,,
Aerospace biophysics,False,,False,,
Advertising Aerospace components,False,,False,,
Aerospace control,False,,False,,
Aerodynamics,False,,False,,
Aerosols,False,,False,,
Aerospace accidents Aerospace electronics,False,,False,,
Aerospace simulation,False,,False,,
Aerospace testing,False,,False,,
Aerospace industry Affective computing,False,,False,,
Africa,False,,False,,
Aerospace materials,False,,False,,
Aggregates,False,,False,,
Agricultural products,False,,False,,
Agile manufacturing,False,,False,,
Agriculture,False,,False,,
Agile software development,False,,False,,
Aging,False,,False,,
Air cleaners,False,,False,,
Air quality,False,,False,,
Air conditioning,False,,False,,
Air safety,False,,False,,
Air traffic control,False,,False,,
Air transportation,False,,False,,
Air gaps,False,,False,,
Airborne radar,True,radar,False,,
Air pollution,False,,False,,
Aircraft,False,,False,,
