Input Term,isAcronym,Extracted Term,isDescription,Description,Context
,False,,False,,
ISO 21348:2007(E),True,ISO,False,,
ISO 21348:2007(E),True,ISO,False,,
5 Solar irradiance product types............................................................................................................3,False,,False,,
5.1 Rationale................................................................................................................................................3,False,,False,,
5.2 Type designation..................................................................................................................................3,False,,False,,
6 Solar irradiance spectral categories...................................................................................................4,False,,False,,
6.1 General...................................................................................................................................................4,False,,False,,
6.2 Total Solar Irradiance...........................................................................................................................4,False,,False,,
6.3 Gamma-rays..........................................................................................................................................4,False,,False,,
6.4 X-rays.....................................................................................................................................................5,False,,False,,
6.5 Ultraviolet..............................................................................................................................................5,False,,False,,
6.6 Visible....................................................................................................................................................6,False,,False,,
6.7 Infrared...................................................................................................................................................6,False,,False,,
6.8 Microwave..............................................................................................................................................6,False,,False,,
6.9 Radio......................................................................................................................................................7,False,,False,,
7 Compliance criteria...............................................................................................................................7,False,,False,,
7.1 Rationale................................................................................................................................................7,False,,False,,
7.2 Reporting...............................................................................................................................................8,False,,False,,
7.3 Documenting.........................................................................................................................................8,False,,False,,
7.4 Publishing............................................................................................................................................11,False,,False,,
7.5 Archiving.............................................................................................................................................11,False,,False,,
8 Certification.........................................................................................................................................11,False,,False,,
Bibliography.....................................................................................................................................................12,False,,False,,
ISO 21348:2007(E),True,ISO,False,,
ISO 21348:2007(E),True,ISO,False,,
,False,,False,,
INTERNATIONAL STANDARD  ISO 21348:2007(E),True,STANDARD,False,,
,False,,False,,
2.1,False,,False,,
astronomical unit,False,,False,,
ua,False,,False,,
2.2,False,,False,,
solar irradiance,False,,False,,
ISO 21348:2007(E),True,ISO,False,,
4.1  Solar irradiance representation,False,,False,,
ISO 21348:2007(E),True,ISO,False,,
4.2  Robustness of standard,False,,False,,
4.3  Process-based standard,False,,False,,
4.4  Process-ownership of standard development,False,,False,,
4.5  Parallel activity of certification to standard,False,,False,,
5.1  Rationale,False,,False,,
Type 1,False,,False,,
Type 2,False,,False,,
ISO 21348:2007(E),True,ISO,False,,
6.1  General,False,,False,,
Gamma-ray,False,,False,,
ISO 21348:2007(E),True,ISO,False,,
6.4  X-rays,False,,False,,
6.5  Ultraviolet,False,,False,,
6.5.3  Extreme Ultraviolet,False,,False,,
6.5.4  Lyman-alpha,False,,False,,
6.5.5  Far Ultraviolet,False,,False,,
6.5.6  Ultraviolet C,False,,False,,
6.5.7  Middle Ultraviolet,False,,False,,
6.5.8  Ultraviolet B,False,,False,,
6.5.9  Near Ultraviolet,False,,False,,
ISO 21348:2007(E),True,ISO,False,,
6.6  Visible,False,,False,,
6.6.5  Yellow,False,,False,,
6.6.6  Orange,False,,False,,
6.6.7  Red,False,,False,,
6.7  Infrared,False,,False,,
6.7.1  Infrared,False,,False,,
6.7.2  Near Infrared,False,,False,,
6.7.3  Middle Infrared,False,,False,,
6.7.4  Far infrared,False,,False,,
Microwave,False,,False,,
ISO 21348:2007(E),True,ISO,False,,
6.9  Radio,False,,False,,
ISO 21348:2007(E),True,ISO,False,,
7.2  Reporting,False,,False,,
7.3  Documenting,False,,False,,
7.3.3  reference spectra,False,,False,,
7.3.4  empirical models,False,,False,,
7.3.5  theoretical models,False,,False,,
7.3.6  solar irradiance proxies indices,False,,False,,
ISO 21348:2007(E),True,ISO,False,,
ISO 21348:2007(E),True,ISO,False,,
Figure 1 — Solar irradiance spectral categories from gamma-rays through radio wavelengths,False,,False,,
ISO 21348:2007(E),True,ISO,False,,
7.4  Publishing,False,,False,,
7.5  Archiving,False,,False,,
ISO 21348:2007(E),True,ISO,False,,
25,False,,False,,
,False,,False,,
ISO 21348:2007(E),True,ISO,False,,
