Input Term,isAcronym,Extracted Term,isDescription,Description,Context
,False,,False,,
ambient solar wind,False,,False,,
ACE,True,ACE,True,Advanced Composition Explorer, the  Advanced Composition Explorer (ACE) spacecraft is positioned on the  
active regions,False,,False,,
ambient solar wind,False,,False,,
AU,True,AU,True,Astronomical Unit,the Sun's ionized atmosphere into interplanetary space   AU 1 Astronomical Unit (AU) is equal to the average distance from the Earth to  
aurora,False,,False,,
auroral region,False,,False,,
auroral activity,False,,False,,
auroral boundary,False,,False,,
auroral precipitation,False,,False,,
,False,,False,,
cadence,False,,False,,
,False,,False,,
Carrington event,False,,False,,
,False,,False,,
Carrington rotation,False,,False,,
,False,,False,,
chromosphere,False,,False,,
Corotating Interaction Region (CIR),True,CIR,False,,
,False,,False,,
CME,True,CME,False,,
,False,,False,,
CME angular width,True,CME,False,,
,False,,False,,
CME opening half-angle,True,CME,False,,
CME parameters,True,CME,False,,
CME plane of sky measurements,True,CME,False,,
CME plane of sky speed,True,CME,False,,
CME radial velocity,True,CME,False,,
cone model,False,,False,,
coronagraph,False,,False,,
coronagraph field of view,False,,False,,
coronagraph difference images,False,,False,,
coronal hole,False,,False,,
coronal loop,False,,False,,
,False,,False,,
differential rotation,False,,False,,
diffuse aurora,False,,False,,
discrete aurora,False,,False,,
,False,,False,,
ecliptic plane,False,,False,,
,False,,False,,
electromagnetic spectrum,False,,False,,
electron volt (eV),False,,False,,
energetic charged particles,False,,False,,
energetic electrons,False,,False,,
energetic protons,False,,False,,
geoeffective,False,,False,,
,False,,False,,
,False,,False,,
geomagnetic storm/space weather storm in the Earth's,False,,False,,
magnetopshere,False,,False,,
,False,,False,,
geomagnetic Kp index,False,,False,,
geostationary/GEO orbit,False,,False,,
GOES,True,GOES,False,,
halo CME,True,CME,False,,
Heliocentric Earth Equatorial coordinates (HEEQ),True,HEEQ,False,,
heliosphere,False,,False,,
hemispheric power,False,,False,,
high speed solar wind stream,False,,False,,
ionization,False,,False,,
,False,,False,,
ionizing radiation,False,,False,,
,False,,False,,
ionosphere,False,,False,,
Kp Index,False,,False,,
,False,,False,,
L1 point,False,,False,,
,False,,False,,
magnetic reconnection,False,,False,,
,False,,False,,
magnetopause,False,,False,,
magnetosphere,False,,False,,
MHD,True,MHD,False,,
,False,,False,,
Parker spiral,False,,False,,
particle flux,False,,False,,
penumbra,False,,False,,
,False,,False,,
photosphere,False,,False,,
,False,,False,,
plage,False,,False,,
,False,,False,,
plasma,False,,False,,
POES,True,POES,False,,
,False,,False,,
reconnection,False,,False,,
,False,,False,,
SDO,True,SDO,False,,
solar,False,,False,,
solar atmosphere,False,,False,,
solar corona,False,,False,,
solar cycle of magnetic activity,False,,False,,
solar wind,False,,False,,
space weather,False,,False,,
spectral notation,False,,False,,
STEREO,True,STEREO,False,,
streamer,False,,False,,
,False,,False,,
sunspot,False,,False,,
,False,,False,,
tachocline,False,,False,,
transition region,False,,False,,
,False,,False,,
X-ray flare,False,,False,,
