Input Term,Input Definitions,isAcronym,Extracted Term,isDescription,Description,Context
2001 Mars Odyssey,"Mars orbiter mission designed to make global observations of Mars to improve our understanding of the Martian climate and geologic history, including the search for liquid water and evidence of past life. The three primary instruments carried onboard are THEMIS (Thermal Emission Imaging System), GRS (Gamma Ray Spectrometer), and MARIE (Mars Radiation Environment Experiment). Launched April 2001.",False,,False,,
A-1 aircraft,,False,,False,,
A-2 aircraft,,False,,False,,
A-3 aircraft,,False,,False,,
A-4 aircraft,,False,,False,,
A-5 aircraft,,False,,False,,
A-6 aircraft,,False,,False,,
A-7 aircraft,,False,,False,,
A-9 aircraft,,False,,False,,
A-10 aircraft,,False,,False,,
A-37 aircraft,,False,,False,,
A-300 aircraft,,False,,False,,
A-310 aircraft,,False,,False,,
A-320 aircraft,,False,,False,,
A-330 aircraft,,False,,False,,
A-340 aircraft,,True,A-340,False,,
A-380 aircraft,,False,,False,,
AAP 1 mission,,True,AAP,False,,
AAP 2 mission,,True,AAP,False,,
AAP 3 mission,,True,AAP,False,,
AAP 4 mission,,True,AAP,False,,
abbreviations,,False,,False,,
abdomen,,False,,False,,
Abel function,,False,,False,,
aberration,"In astronomy, the apparent angular displacement of the position of a celestial body in the direction of motion of the observer, caused by the combination of the velocity of the observer and the velocity of light. In optics, a specific deviation from perfect imagery, as, for example: spherical aberration, coma, astigmatism, curvature of field, and distortion.",False,,False,,
abilities,,False,,False,,
abiogenesis,The development of living organisms from lifeless matter.,False,,False,,
ablation,"The removal of surface material from a body by vaporization, melting, chipping, or other erosive process; specifically, the intentional removal of material from a nose cone or spacecraft during high speed movement through a planetary atmosphere to provide thermal protection to the underlying structure.",False,,False,,
ablative materials,"Materials, especially coating materials, designed to provide thermal protection to a body in a fluid stream through the loss of mass.",False,,False,,
ablative nose cones,,False,,False,,
Ablestar launch vehicle,,False,,False,,
abnormalities,,False,,False,,
aborigines,,False,,False,,
abort apparatus,,False,,False,,
abort trajectories,,False,,False,,
aborted missions,,False,,False,,
abrasion,The surface loss of a material due to frictional forces.,False,,False,,
abrasion resistance,,False,,False,,
abrasives,"Rocks, minerals, or other substances that, owing to their superior hardness, toughness, consistency, or other properties, are suitable for grinding, cutting, polishing, scouring, or similar use.",False,,False,,
Abrikosov theory,,False,,False,,
abscisic acid,"Abscission-accelerating plant growth substance isolated from young cotton fruit, leaves of sycamore, birch, and other plants, and from potatoes, lemons, avocados, and other fruits.",False,,False,,
absolute zero,Temperature of -273.16 deg. C or -459.69 deg. F or 0 deg. K at which molecular motion vanishes and a body has no heat energy.,False,,False,,
absorbents,,False,,False,,
~ absorbers,,False,,False,,
absorbers (equipment),,False,,False,,
absorbers (materials),,False,,False,,
absorptance,The ratio of the radiant flux absorbed by a body to that incident upon it.,False,,False,,
~ absorption,"The process by which radiant energy is absorbed and converted into other forms of energy. In general, the taking up or assimilation of one substance by another. In vacuum technology, gas entering the interior of a solid.",False,,False,,
absorption cooling,Refrigeration in which cooling is effected by the expansion of liquid ammonia into gas and the absorption of the gas by water. The ammonia is reused after the water evaporates.,False,,False,,
absorption cross sections,"In radar, cross sections characterized by the amount of power removed from a beam by absorption of radio energy by a target to the power in the beam incident upon the target. Used for capture cross sections.",False,,False,,
absorption spectra,The arrays of absorption lines and absorption bands which result from the passage of radiant energy from a continuous source through a selectively absorbing medium cooler than the source. Used for absorption bands and spectral absorption.,False,,False,,
absorption spectroscopy,,False,,False,,
absorptivity,"The capacity of a material to absorb incident radiant energy, measured as the absorptance of a specimen of material thick enough to be completely opaque, and having an optically smooth surface. Used for absorption coefficient and absorptive index.",False,,False,,
abstracts,,False,,False,,
