Input Term,isAcronym,Extracted Term,isDescription,Description,Context
'A'a:,False,,False,,
Accretion:,False,,False,,
Achondrite:,False,,False,,
AGB stars:,True,AGB,True,on the asymptotic giant branch,"Achondrite: A class of stony meteorites that crystallized from magmas. The term means without chondrules. AGB stars: Cool, luminous, and pulsating red giant stars. Most stars in the Universe that have left the main sequence will reach their final evolutionary stage as stars on the asymptotic giant branch (AGB). "
Agglutinates:,False,,False,,
Albedo:,False,,False,,
Amazonian Epoch:,False,,False,,
Amino acids:,False,,False,,
Ammonia:,False,,False,,
Amorphous:,False,,False,,
Andesite:,False,,False,,
Angrite:,False,,False,,
Angstrom:,False,,False,,
Anomaly:,False,,False,,
Anorthosite:,False,,False,,
ANSMET:,True,ANSMET:,False,,
Antenna:,False,,False,,
Antipode:,False,,False,,
Aphanitic:,False,,False,,
Aphelion:,False,,False,,
Apollo:,False,,False,,
Apparition:,False,,False,,
Argument of perihelion:,False,,False,,
Ascending node:,False,,False,,
Asteroid:,False,,False,,
Asteroid belt:,False,,False,,
Asteroid family:,False,,False,,
Astrobiology:,False,,False,,
Astronaut:,False,,False,,
Astronomical twilight:,False,,False,,
Atmophile:,False,,False,,
Atmosphere:,False,,False,,
AU (Astronomical Unit):,True,AU,False,,
Bacteria:,False,,False,,
Basalt:,False,,False,,
Basin:,False,,False,,
Biosphere:,False,,False,,
Breccia:,False,,False,,
CAI:,True,CAI:,False,,
Caldera:,False,,False,,
Canonical:,False,,False,,
Carbon:,False,,False,,
Carbon star:,False,,False,,
Carbonaceous chondrite:,False,,False,,
Carbonate:,False,,False,,
Carbon dioxide:,False,,False,,
Celestial body:,False,,False,,
Celestial equator:,False,,False,,
Celestial sphere:,False,,False,,
Celsius:,False,,False,,
Ceres:,False,,False,,
Chalcophile:,False,,False,,
Chassignites:,False,,False,,
Chirality:,False,,False,,
l,False,,False,,
d,False,,False,,
l-,False,,False,,
Chondrite:,False,,False,,
Chondrule:,False,,False,,
Clementine:,False,,False,,
Clinopyroxene:,False,,False,,
Closure temperature:,False,,False,,
Coma:,False,,False,,
Comet:,False,,False,,
