Input Term,isAcronym,Extracted Term,isDescription,Description,Context
AAS,True,AAS,False,,
ACMA,True,ACMA,False,,
Acoustic Sounders,False,,False,,
ADP,True,ADP,False,,
AFL,True,AFL,False,,
AGN,True,AGN,False,,
AGU,True,AGU,False,,
AIRS,True,AIRS,False,,
AIST,True,AIST,False,,
altimetry,False,,False,,
AMSU,True,AMSU,False,,
AO,True,AO,False,,
AOR,True,AOR,False,,
APRA,True,APRA,False,,
assimilation,False,,False,,
asteroids,False,,False,,
ASTID,True,ASTID,False,,
ATFP,True,ATFP,False,,
ATI,True,ATI,False,,
atmospheric,False,,False,,
auroral zone,False,,False,,
AVGR,True,AVGR,False,,
