Input Term,Input Definitions,isAcronym,Extracted Term,isDescription,Description,Context
Absorption,"Decrease of radiant energy (relative to the background
								continuum spectrum).",False,,False,,
AccessInformation,"Attributes of the resource which pertain to how to
								accessing the resource, availability and storage format.",False,,False,,
AccessRights,"Permissions granted or denied by the host of a product to
								allow other users to access and use the resource.",False,,False,,
AccessURL,"Attributes of the method for accessing a resource
								including a URL, name and description.",False,,False,,
ACElectricField,Alternating electric field component of a wave.,False,,False,,
Acknowledgement,"The individual, group or organization which should be
								acknowledged when the data is used in or contributes to a presentation or publication.",False,,False,,
ACMagneticField,Alternating magnetic field component of a wave.,False,,False,,
Active,"Exerting an influence or producing a change or effect. An
								active measurement is one which produces a transmission or excitation as a part of the
								measurement cycle.",False,,False,,
ActiveRegion,"A localized, transient volume of the solar atmosphere in
								which PLAGEs, SUNSPOTS, FACULAe, FLAREs, etc. may be observed.",False,,False,,
ActivityIndex,"An indication, derived from one or more measurements, of
								the level of activity of an object or region, such as sunspot number, F10.7 flux, Dst,
								or the Polar Cap Indices.",False,,False,,
Address,"Directions for finding some location; written on letters
								or packages that are to be delivered to that location.",False,,False,,
AdiabaticInvariant,"A property of a physical system usually related to
								periodic phenomena that remains constant under slowly varying conditions.",False,,False,,
Aerosol,A suspension of fine solid or liquid particles in a gas.,False,,False,,
Agency,"The name of an organization that provides a service or
								funding for specific projects.",False,,False,,
AkasofuEpsilon,"A measure of the magnetopause energy flux and an
								indicator of the solar wind power available for subsequent magnetospheric energization.
								Defined as: V*B^2*l^2sin(theta/2)^4 where B is the IMF, l is an empirical scaling
								parameter equal to 7 RE, and theta = tan(BY /BZ)^-1 the IMF clock angle.",False,,False,,
Albedo,"The ratio of reflected radiation from the surface to
								incident radiation upon it.",False,,False,,
AlfvenMachNumber,The ratio of the bulk flow speed to the Alfven speed.,False,,False,,
AlfvenVelocity,"Phase velocity of the Alfven wave; In SI units it is the
								velocity of the magnetic field divided by the square root of the mass density times the
								permeability of free space (mu).",False,,False,,
AlphaParticle,"A positively charged nuclear particle that consists of
								two protons and two neutrons.",False,,False,,
AlternateName,"An alternative or shortened name used to refer to a
								resource. This includes acronyms, expanded names or a synonym for a resource.",False,,False,,
Ancillary,"A complementary item which can be subordinate,
								subsidiary, auxiliary, supplementary to the primary item.",False,,False,,
Anisotropy,Direction-dependent property.,False,,False,,
Annotation,"Information which is explanatory or descriptive which is
								associated with another resource.",False,,False,,
AnnotationType,A classification for an annotation.,False,,False,,
Anomaly,"An interval where measurements or observations may be
								adversely affected.",False,,False,,
Antenna,A sensor used to measure electric potential.,False,,False,,
API,"An application programming interface (API) is a form of
								interface that allows applications to access the features or data of an operating
								system, application, or other service. An API may have a required protocol or set of
								principles. Some examples of protocols are SOAP, XML-RPC and JSON-RPC. An example of an
								API with a set of principles is REST.",True,API,False,,
ApplicationInterface,The type of interface for the application.,False,,False,,
ArchiveSpecialist,"An individual who is an expert on a collection of
								resources and may also be knowledgeable of the phenomenon and related physics
								represented by the resources. This includes librarians, curators, archive scientists and
								other experts.",False,,False,,
Area,"Integration over the extent of a planar region, or of the
								surface of a solid.",False,,False,,
Ariel,The fourth-largest moon of Uranus.,False,,False,,
Array,"A sequence of values corresponding to the elements in a
								rectilinear, n-dimension matrix. Each value can be referenced by a unique index.",False,,False,,
ArrivalDirection,"An angular measure of the direction from which an
								energetic particle or photon was incident on a detector. The angles may be measured in
								any coordinate system.",False,,False,,
ASCII,"A sequence of characters that adheres to American
								Standard Code for Information Interchange (ASCII) which is an 7-bit character-coding
								scheme.",True,ASCII,False,,
Association,"Attributes of a relationship a resource has with another
								resource.",False,,False,,
AssociationID,"The resource identifier for a resource with which this
								resource is closely associated.",False,,False,,
AssociationType,"A characterization of the role or purpose of an
								associated resource.",False,,False,,
Asteroid,"A small extraterrestrial body consisting mostly of rock
								and metal that is in orbit around the sun.",False,,False,,
Atmosphere,"The neutral gases surrounding a body that extends from
								the surface and is bound to the body by virtue of the gravitational attraction.",False,,False,,
Atom,"Matter consisting of a nucleus surrounded by electrons
								which has no net charge.",False,,False,,
AtomicNumber,The number of protons in the nucleus of an atom.,False,,False,,
AtomicNumberDetected,"The number of protons in the nucleus of an atom as
								determined by a detector.",False,,False,,
Aurora,"An atmospheric phenomenon consisting of bands of light
								caused by charged solar particles following the earth's magnetic lines of force.",False,,False,,
AuroralRegion,"The region in the atmospheric where electrically-charged
								particles bombarding the upper atmosphere of a planet in the presence of a magnetic
								field produce an optical phenomenon.",False,,False,,
Authors,"A list of individuals or organizations who prepared a
								work for publication. Separate multiple names with "";"". When an author is a persons use
								""last,first[ middle]"" format. Including a middle name is optional.",False,,False,,
Automatic,"Determined by the analysis or assessment performed by a
								program or server.",False,,False,,
AutoSpectrum,"The Fourier transform of the auto correlation function
								for physical or empirical observations, which describes the general dependence of the
								time series data values at one instant on the time series data values at another
								instant.",False,,False,,
Availability,"An indication of the method or service which may be used
								to access the resource.",False,,False,,
Average,"The statistical mean; the sum of a set of values divided
								by the number of values in the set.",False,,False,,
AverageChargeState,"A measure of the composite deficit (positive) or excess
								(negative) of electrons with respect to protons.",False,,False,,
AVI,"Audio Video Interleave (AVI) a digital format for movies
								that conforms to the Microsoft Windows Resource Interchange File Format (RIFF).",True,AVI,False,,
AwardNumber,"The identifying information assigned to the financial
								support (funding) of a project.",False,,False,,
AxisLabel,"A short character string (approximately 10 characters,
								but preferably 6 characters - more only if absolutely required for clarity) which can be
								used to label a y-axis for a plot or to provide a heading for a data listing.",False,,False,,
